station_name,hour,day_of_week_num,actual_rides,predicted_rides
Normal Ave & Archer Ave,11,1,1,1.1159638414156867
Desplaines St & Kinzie St,16,3,2,1.8749633608144023
Southport Ave & Waveland Ave,18,1,2,1.648587695724079
Larrabee St & Menomonee St,17,1,1,1.2171711579083289
Calumet Ave & 33rd St,17,1,3,1.3580234684395154
Clark St & Elmdale Ave,5,6,1,1.038894148442936
Michigan Ave & Lake St,20,3,1,1.2415021995496347
Vernon Ave & 79th St,8,1,1,1.164586678553173
Kingsbury St & Erie St,15,6,2,1.2632488713590364
Loomis St & Lexington St,13,4,1,1.8801814778358892
Larrabee St & Division St,13,6,1,1.546801640972263
Shields Ave & 31st St,16,2,1,1.1143013967915931
Albany Ave & Bloomingdale Ave,10,5,1,1.1232437835399318
Wells St & Concord Ln,18,1,1,2.880666978360477
Clinton St & Lake St,1,5,3,1.455554197441611
Ellis Ave & 53rd St,9,5,2,1.181041011684069
Millennium Park,11,5,1,1.8680382318191753
State St & Randolph St,12,1,1,1.3384007824412254
New St & Illinois St,11,2,1,1.2989634211842844
Lincoln Ave & Diversey Pkwy,6,2,1,1.5030634482123364
Eastlake Ter & Rogers Ave,9,5,1,1.1151869702201185
Michigan Ave & 8th St,11,3,1,1.4430387807357001
New St & Illinois St,16,2,1,1.3296927121409445
Sedgwick St & North Ave,16,1,2,1.3951769794154019
Franklin St & Lake St,19,2,1,1.6495012477220152
Jefferson St & Monroe St,6,1,1,1.2525938566031045
University Ave & 57th St,16,0,1,4.320487484823397
Ashland Ave & Wellington Ave,12,1,1,1.1123649696867879
Fairbanks Ct & Grand Ave,20,3,1,1.1981907365644973
Clark St & North Ave,12,3,1,1.1775083227000693
Clark St & Bryn Mawr Ave,17,2,1,1.156637376975431
Clark St & Montrose Ave,10,1,1,1.0966250139312594
Lincoln Ave & Roscoe St,11,0,2,1.1553323429364888
Bosworth Ave & Howard St,20,5,1,1.12723311544022
Sheffield Ave & Wellington Ave,12,2,3,1.3511218805992888
Franklin St & Monroe St,13,2,1,1.400036281228232
Rockwell St & Eastwood Ave,11,0,1,1.1359837030771862
Broadway & Ridge Ave,7,4,1,1.1673583036412065
Clark St & Drummond Pl,18,4,1,1.4803868051506743
LaSalle St & Washington St,21,0,2,1.2319307022999149
Ashland Ave & Chicago Ave,12,5,2,1.2581659480480922
Clinton St & Roosevelt Rd,16,3,1,1.3624212178633608
Halsted St & Clybourn Ave,7,2,1,1.5242478951165188
Central Ave & Harrison St,9,5,1,1.1109990450500506
Artesian Ave & Hubbard St,8,1,3,1.4145075664410292
Rush St & Cedar St,7,0,1,1.5021484343832396
Ellis Ave & 53rd St,12,5,2,1.4532876312474499
Ashland Ave & Archer Ave,12,5,1,1.1873708713176052
Blackstone Ave & Hyde Park Blvd,12,5,1,1.2070798180100242
Lincoln Ave & Waveland Ave,11,3,1,1.1705269003610796
Milwaukee Ave & Wabansia Ave,14,5,2,1.5424177457988986
MLK Jr Dr & 29th St,10,5,2,1.2127399220840278
Morgan St & 18th St,10,2,1,1.121347236579699
Noble St & Milwaukee Ave,14,3,1,1.1509955114156958
Clark St & Leland Ave,10,4,1,1.1375710406318238
Halsted St & Maxwell St,20,3,1,1.174399586894132
Wells St & Concord Ln,16,2,2,2.013282277725905
Leavitt St & Belmont Ave,11,1,2,1.1269437332321999
Central Park Ave & Bloomingdale Ave,13,0,1,1.1429621980381628
Wells St & Hubbard St,17,5,1,1.3612187154302335
Woodlawn Ave & 55th St,15,4,1,1.3454591827602596
Broadway & Cornelia Ave,15,1,1,1.2462193602889469
Green St & Randolph St,18,6,1,1.2958824733391228
Southport Ave & Waveland Ave,13,6,1,1.6262558181279838
Ellis Ave & 53rd St,16,5,1,1.3665205387852737
Halsted St & 47th Pl,4,5,1,1.048977516827015
Shore Dr & 55th St,16,5,2,1.3779974269253368
Indiana Ave & Roosevelt Rd,8,5,2,1.9181545057969205
Rush St & Superior St,5,4,1,1.0658935434881716
Wells St & Walton St,11,5,1,1.1796833145395604
DuSable Lake Shore Dr & Diversey Pkwy,19,0,1,1.1805392635627725
Ashland Ave & Augusta Blvd,11,2,1,1.2935455384169579
Aberdeen St & Jackson Blvd,19,1,1,1.2477772222043095
State St & Kinzie St,18,0,3,1.965283673904594
Michigan Ave & Jackson Blvd,9,0,1,1.145589563230109
Halsted St & Archer Ave,16,4,2,1.1786105746206061
Ritchie Ct & Banks St,10,6,1,1.2697107655063775
Emerald Ave & 31st St,15,1,1,1.2431867123812987
Michigan Ave & 18th St,23,0,1,1.1024334660826494
Southport Ave & Roscoe St,12,0,1,1.4447866448469227
Greenview Ave & Diversey Pkwy,20,0,1,1.1242486401639598
Stetson Ave & South Water St,5,1,1,1.2989739484790956
Michigan Ave & 18th St,19,4,1,1.4047327920414383
New St & Illinois St,17,5,1,1.3739737481674554
Clark St & Wrightwood Ave,11,5,1,1.7846132447855905
Wells St & Huron St,23,1,1,1.0331973586971093
Broadway & Cornelia Ave,6,0,2,1.2205860969966964
Lake Park Ave & 56th St,18,3,1,1.1448849999496076
Ogden Ave & Chicago Ave,19,1,2,1.1959997142233054
Sheffield Ave & Fullerton Ave,18,2,1,1.974253744725704
Franklin St & Lake St,13,2,2,1.4849028295547457
Western Ave & Walton St,21,0,2,1.1591326942007443
Dayton St & North Ave,1,6,1,1.12887527116782
Damen Ave & Foster Ave,19,4,1,1.2245085856834352
Wilton Ave & Belmont Ave,11,2,3,1.1947494785916044
Marshfield Ave & 44th St,6,2,1,1.157487643565425
Morgan St & Polk St,14,1,1,1.9945595962743514
Wells St & Elm St,8,1,4,2.630888433676746
Calumet Ave & 35th St,21,3,1,1.1720015348716124
Pine Grove Ave & Irving Park Rd,18,2,2,1.1491100201889255
McClurg Ct & Ohio St,19,2,1,1.2430065378288517
Franklin St & Illinois St,6,2,1,1.1552530363467415
Cherry Ave & Blackhawk St,13,0,1,1.1327124984044545
Clark St & Montrose Ave,16,1,1,1.224373250805566
Field Blvd & South Water St,12,0,1,1.1635642845446914
Bissell St & Armitage Ave,14,5,1,1.5935599011421737
Cornell Ave & Hyde Park Blvd,9,4,1,1.221128955177764
Ashland Ave & Wellington Ave,17,3,1,1.3160577725848974
Canal St & Adams St,8,3,3,3.8649517218247866
Ellis Ave & 58th St,16,0,4,1.6279151257211666
Broadway & Belmont Ave,12,2,2,1.2763449971965652
Halsted St & Maxwell St,8,4,1,1.1482441765683526
Harper Ave & 59th St,15,6,1,1.2632488713590364
LaSalle Dr & Huron St,10,1,1,1.186457830339701
Delano Ct & Roosevelt Rd,13,6,1,1.129031829401268
Sangamon St & Washington Blvd,22,0,1,1.0998183912666537
Dodge Ave & Church St,21,1,1,1.1696041250413338
Wabash Ave & 16th St,19,1,1,1.2367585582905156
Halsted St & Maxwell St,13,2,1,1.300619821751152
Damen Ave & Cortland St,6,1,1,1.125572800954401
Southport Ave & Waveland Ave,14,3,4,1.5791137129536255
Franklin St & Lake St,15,0,1,1.6881366518844327
Clark St & Elm St,5,0,2,1.52516147163061
Rush St & Hubbard St,14,4,1,1.1130107504392892
Ravenswood Ave & Lawrence Ave,18,2,2,1.7015238180096615
Carpenter St & Huron St,11,5,2,1.2833673907019614
Aberdeen St & Randolph St,11,5,1,1.1642754914067808
Columbus Dr & Randolph St,18,5,1,1.657102444220567
Clark St & Grace St,18,5,2,1.3008487769148516
Clark St & Lake St,8,0,2,1.1860921312682289
Wentworth Ave & 33rd St,11,5,1,1.1807857716043615
Clinton St & Lake St,8,3,4,2.377490922633906
Ashland Ave & Grand Ave,11,1,1,1.1878668819488336
Michigan Ave & Washington St,12,3,3,1.9406448573179267
Rush St & Cedar St,6,3,1,1.1261077244095743
University Ave & 57th St,13,4,1,1.5112438549582514
Damen Ave & Chicago Ave,6,3,1,1.2047072024120105
Central Park Ave & Bloomingdale Ave,15,4,1,1.3236908633882039
Fort Dearborn Dr & 31st St,10,0,1,1.1025312325295644
Field Blvd & South Water St,17,6,1,1.2719617881654297
Larrabee St & Webster Ave,10,4,1,1.6874050329812005
Glenwood Ave & Touhy Ave,12,6,1,1.1375644911023763
Clark St & Newport St,12,3,1,1.4814352353758071
Halsted St & Dickens Ave,18,5,2,1.2905777742048243
Clinton St & Roosevelt Rd,8,1,1,1.164586678553173
Millennium Park,16,0,1,1.7549282783867304
Theater on the Lake,16,0,1,1.2160108902801965
Ada St & Washington Blvd,6,5,1,1.0586878484077191
Ashland Ave & Augusta Blvd,5,0,1,1.0397060773604536
Hermitage Ave & Polk St,12,0,2,1.1839766682061579
Lincoln Ave & Diversey Pkwy,20,0,2,1.1379138306668433
Green St & Madison St,9,0,1,1.3960728372075122
Eastlake Ter & Rogers Ave,14,6,1,1.1720571213554976
Clark St & Wrightwood Ave,18,1,2,1.6614910491031183
Orleans St & Chestnut St (NEXT Apts),18,1,2,1.6630162137784215
Canal St & Madison St,6,0,2,1.240955757628669
Clark St & Elm St,15,5,1,2.3578649250768047
Franklin St & Illinois St,6,1,1,1.1119219433070644
Clark St & Elm St,17,6,1,1.876630472558206
Ogden Ave & Race Ave,19,3,1,1.2255110759600418
Clark St & Lincoln Ave,20,2,2,1.2157188677103934
Delano Ct & Roosevelt Rd,12,2,1,1.1607783744519984
Franklin St & Chicago Ave,17,4,5,2.7517577610298196
LaSalle Dr & Huron St,11,3,1,1.3586830977252395
Peoria St & Jackson Blvd,15,2,2,1.5056349311410393
Morgan St & Polk St,13,4,2,1.3987610893744797
Canal St & Jackson Blvd,12,4,1,1.4343152309844924
Southport Ave & Irving Park Rd,10,5,2,1.2549606742861226
Peoria St & Jackson Blvd,7,0,1,1.3624856376611028
Aberdeen St & Randolph St,10,4,1,1.1298055609758897
Benson Ave & Church St,9,3,3,1.1630334869781163
Cottage Grove Ave & 78th St,6,1,1,1.1157977609137744
Lincoln Ave & Roscoe St,20,4,1,1.3065638358340899
Larrabee St & Division St,12,2,1,1.1857765457069316
California Ave & Division St,13,6,1,1.1353303439831075
McClurg Ct & Ohio St,10,5,2,1.189071619110263
Manor Ave & Leland Ave,13,5,1,1.191445162308529
Wolcott (Ravenswood) Ave & Montrose Ave,11,4,1,1.1480593060924897
Racine Ave & Randolph St,15,0,1,1.2063751568792451
Leavitt St & North Ave,8,4,1,1.1097958596691737
Clark St & Touhy Ave,17,1,1,1.237278047774317
Racine Ave & Belmont Ave,2,4,1,1.0495431939505366
Ashland Ave & Lake St,19,2,1,1.2447293842707992
Ashland Ave & Blackhawk St,13,4,1,1.1949788034643356
Larrabee St & Kingsbury St,16,5,2,1.374289539336896
Wilton Ave & Diversey Pkwy,13,1,1,1.467310230237481
Broadway & Waveland Ave,10,3,1,1.5309115207720183
Southport Ave & Wrightwood Ave,7,2,1,1.1623997182619625
Rush St & Cedar St,19,5,2,1.2447251890090913
Wells St & Elm St,16,3,2,2.5454573912238128
Lincoln Ave & Winona St,11,4,1,1.1470524267929276
Southport Ave & Wellington Ave,20,4,1,1.133053571767223
Wolcott Ave & Polk St,17,4,2,1.7924902204348796
Broadway & Ridge Ave,17,4,2,1.1431497670638222
Ellis Ave & 58th St,18,3,4,1.4302683675665375
Stetson Ave & South Water St,17,1,4,3.2427713164028957
Milwaukee Ave & Wabansia Ave,16,1,1,1.1821159706517164
Damen Ave & Division St,16,5,1,1.3688122054519405
Halsted St & Roscoe St,23,3,2,1.1193451749253798
Wells St & Elm St,8,2,7,2.90708587001234
Austin Blvd & Madison St,8,4,1,1.1071787168120308
Western Ave & Lunt Ave,13,1,1,1.1007252196974893
DuSable Lake Shore Dr & Diversey Pkwy,11,0,1,1.167104860709844
Orleans St & Chestnut St (NEXT Apts),19,1,1,1.5686043400672602
Burnham Harbor,11,6,1,1.1874402483197017
Halsted St & Dickens Ave,4,3,1,1.1072134809634808
Clinton St & Jackson Blvd,17,4,1,3.264117334334053
Broadway & Barry Ave,1,5,1,1.455554197441611
Mulligan Ave & Wellington Ave,12,2,1,1.137574523924115
LaSalle St & Jackson Blvd,8,1,1,1.4410967865090882
Fairbanks Ct & Grand Ave,20,2,1,1.2457546929018617
Broadway & Cornelia Ave,12,5,2,1.456999354425798
Franklin St & Monroe St,13,4,1,2.2469645420686613
Michigan Ave & 8th St,11,1,1,1.1609091665631204
Larrabee St & Kingsbury St,23,4,1,1.088562353434726
Wells St & Polk St,17,2,4,1.421254100592881
Woodlawn & 103rd - Olive Harvey Vaccination Site,5,4,1,1.0625994258411127
Morgan St & Polk St,23,1,2,1.0365220420416854
Sheridan Rd & Irving Park Rd,11,5,2,1.535194147670497
Clark St & Grace St,11,6,1,1.3824639477755065
Burling St & Diversey Pkwy,10,0,1,1.129748641172818
Clark St & Wellington Ave,18,1,3,1.9168383005535459
Canal St & Harrison St,19,3,1,1.2493753380785848
California Ave & Byron St,15,3,1,1.3353064717135374
Noble St & Milwaukee Ave,9,6,1,1.4015123607456772
Chicago Ave & Sheridan Rd,15,6,1,1.2632488713590364
Franklin St & Monroe St,15,0,1,1.9254307330271976
LaSalle St & Illinois St,21,1,2,1.5760763131465834
Eckhart Park,4,1,1,1.0029550083060519
Sheffield Ave & Kingsbury St,17,2,1,2.0004924510474047
Pine Grove Ave & Irving Park Rd,11,4,1,1.1627736329025786
Bissell St & Armitage Ave,15,5,2,1.420528065931029
Noble St & Milwaukee Ave,7,1,1,1.460745034790275
May St & Taylor St,17,1,1,1.367053525869561
Clarendon Ave & Junior Ter,7,2,1,1.1567479321858345
Leavitt St & Belmont Ave,17,0,1,1.2164119640503555
Ashland Ave & Archer Ave,14,2,1,1.1151238744036696
DuSable Lake Shore Dr & Monroe St,10,4,1,1.3309622317228946
Sheridan Rd & Loyola Ave,15,4,1,1.3236908633882039
Aberdeen St & Jackson Blvd,5,2,1,1.0604749975003762
Field Blvd & South Water St,20,4,1,1.133053571767223
Keystone Ave & Montrose Ave,19,1,1,1.222736495082406
State St & 33rd St,6,3,1,1.1261077244095743
Peoria St & Jackson Blvd,10,5,2,1.8748427815592148
Wells St & Walton St,16,3,1,1.1407241362111846
Ashland Ave & Grace St,10,0,1,1.1677612840620486
Kingsbury St & Kinzie St,6,0,5,2.705842660607367
Kilbourn & Roscoe,11,0,1,1.1359837030771862
Broadway & Waveland Ave,15,3,3,1.4727454751492521
Mies van der Rohe Way & Chestnut St,12,2,1,1.199394723281687
Sheffield Ave & Kingsbury St,19,5,2,1.2556232691029352
Western Ave & Congress Pkwy,20,3,1,1.1693687032477382
University Library (NU),12,4,1,1.1298686495881023
Kingsbury St & Kinzie St,1,4,3,1.4081621974516716
Lawndale Ave & 30th St,13,6,1,1.1364888805684732
Racine Ave & Fullerton Ave,13,2,2,1.3442327840710369
Morgan St & 18th St,13,4,1,1.1256531339352547
Wells St & Polk St,9,1,1,1.2361042706618321
Rush St & Hubbard St,7,5,2,1.134336032291782
Southport Ave & Roscoe St,19,6,1,1.294288167362889
Washtenaw Ave & Lawrence Ave,0,5,1,1.4626104592660862
Wood St & Chicago Ave,8,1,1,1.5849845657004877
Clark St & Schiller St,6,4,2,1.2340898154097837
Dearborn St & Erie St,18,4,1,2.9153285409121326
Clark St & Schiller St,18,1,1,1.4863354050799114
Halsted St & 18th St,12,2,1,1.1354365928896322
Peoria St & Jackson Blvd,5,3,1,1.1385498836149572
Western Ave & Monroe St,23,6,1,1.0559251709504338
Sheffield Ave & Waveland Ave,17,0,1,1.330394795766711
State St & Van Buren St,16,1,2,1.6984791601900087
Ashland Ave & Division St,16,0,1,2.308995780096424
Broadway & Sheridan Rd,18,5,1,1.3976656684632993
Wabash Ave & Grand Ave,13,2,1,1.830138797047466
Clark St & Berwyn Ave,20,1,1,1.2065695055905044
Wells St & Polk St,11,3,1,1.2958520781905079
California Ave & Fletcher St,5,0,1,1.0397060773604536
Clark St & Elm St,14,1,1,2.3540881896311467
Drake Ave & Montrose Ave,15,1,1,1.2329674259964023
Ellis Ave & 58th St,19,0,1,1.1805392635627725
Loomis St & Lexington St,7,5,1,1.7635556077816312
Damen Ave & Leland Ave,17,0,1,1.2332926396839883
Clark St & Winnemac Ave,22,4,1,1.1163223747924298
Wilton Ave & Belmont Ave,17,2,3,2.933532596015956
LaSalle St & Adams St,12,0,1,1.1635642845446914
Lincoln Ave & Fullerton Ave,23,6,1,1.0616304379057009
Wabash Ave & Roosevelt Rd,9,4,1,1.3740286147306855
Honore St & Division St,10,6,1,1.161309581423132
Clark St & Schiller St,6,1,1,1.2301082934841985
Wolcott Ave & Polk St,7,3,2,1.1611452905246051
State St & Randolph St,14,0,2,1.6547843596785197
Lincoln Ave & Diversey Pkwy,23,4,1,1.2497921880632095
Ellis Ave & 60th St,8,5,2,2.9451200714060617
Orleans St & Merchandise Mart Plaza,12,0,1,1.789868202425996
Orleans St & Elm St,15,1,1,1.2431867123812987
Aberdeen St & Jackson Blvd,18,1,2,1.4468824002216392
Stetson Ave & South Water St,15,4,3,1.397303173909739
Sheridan Rd & Loyola Ave,14,5,2,1.1693398922172376
Walsh Park,8,1,1,1.3613024375065257
Sheridan Rd & Irving Park Rd,6,1,1,1.2269155075215623
Michigan Ave & Ida B Wells Dr,17,4,1,1.536604393746586
Southport Ave & Wrightwood Ave,5,2,1,1.0554071296956662
Marine Dr & Ainslie St,12,3,1,1.1702567101754346
Leavitt St & Armitage Ave,18,6,1,1.1546906381751025
Peoria St & Jackson Blvd,10,5,1,1.8748427815592148
Albany Ave & Bloomingdale Ave,12,3,1,1.1762569286363271
Humboldt Blvd & Armitage Ave,20,5,2,1.12723311544022
Desplaines St & Kinzie St,12,5,1,1.9701283172881474
Canal St & Monroe St,16,4,1,1.7980941330025357
Lakefront Trail & Wilson Ave,13,3,1,1.0934088198440615
Federal St & Polk St,12,0,3,1.7173758935423016
Lincoln Ave & Belmont Ave,17,6,1,1.2365765310938581
Damen Ave & Grand Ave,7,3,1,1.1447495573048285
Ellis Ave & 60th St,12,3,4,2.5233340744223107
Western Ave & Monroe St,12,6,1,1.1375644911023763
Halsted St & Archer Ave,19,2,1,1.2447293842707992
Wood St & Chicago Ave,13,6,1,1.1526065825437761
Sedgwick St & Huron St,15,6,1,1.3888559152284228
Western Ave & Fillmore St,13,6,1,1.2011003100103643
Racine Ave & Washington Blvd,7,0,1,1.1520956713587154
Clark St & Lunt Ave,0,0,1,1.0470047105109164
Clark St & Grace St,11,4,1,1.3692632546853616
Halsted St & Dickens Ave,11,5,1,1.3386402137991391
Halsted St & Clybourn Ave,17,5,1,1.3188993234132116
Woodlawn Ave & 55th St,16,2,1,1.305746413112943
Fairbanks Ct & Grand Ave,22,3,1,1.1978339582188842
St. Clair St & Erie St,10,4,1,1.6145480131323788
Ashland Ave & Wellington Ave,8,1,1,1.1937307678935696
Larrabee St & Kingsbury St,16,4,3,3.103394406882361
Clark St & Lincoln Ave,0,6,1,1.1700814970049658
Dearborn Pkwy & Delaware Pl,17,6,1,1.2728360570197
DuSable Lake Shore Dr & Diversey Pkwy,23,5,1,1.0895108182699647
St. Clair St & Erie St,20,3,1,1.1731157737241968
Wolcott Ave & Polk St,19,0,1,1.862036711587553
Green St & Madison St,16,2,1,2.180176093351093
State St & Van Buren St,16,5,2,1.3665205387852737
Logan Blvd & Elston Ave,11,2,1,1.1695917260084412
Wells St & Elm St,8,5,1,2.370358844302898
McClurg Ct & Ohio St,22,4,1,1.1196304646354034
Damen Ave & Grand Ave,12,1,1,1.1466604346606182
California Ave & Winona St,19,2,1,1.2447293842707992
Kingsbury St & Kinzie St,15,3,3,2.128481782149738
Milwaukee Ave & Wabansia Ave,20,2,1,1.2059134825099138
Indiana Ave & 31st St,21,2,1,1.130250911647326
Ashland Ave & Division St,10,4,1,1.1894590736690402
Lakeview Ave & Fullerton Pkwy,10,6,1,1.5714999041010693
Rhodes Ave & 32nd St,12,3,1,1.155565856500708
Michigan Ave & Lake St,18,4,1,1.9065134923630978
N Green St & W Lake St,11,6,2,1.1761636162499547
Pine Grove Ave & Irving Park Rd,16,4,3,1.2719578079701757
Clark St & Drummond Pl,16,5,2,1.5013172934172956
Clark St & Wellington Ave,10,6,1,1.4663967464577954
Clark St & Newport St,13,3,1,1.4098529130451607
Western Ave & Congress Pkwy,23,2,1,1.1382871844677418
Clark St & Chicago Ave,12,5,1,1.2139332695667826
Sheridan Rd & Irving Park Rd,9,4,2,1.238725582412984
Greenwood Ave & 47th St,16,5,1,1.3665205387852737
Desplaines St & Kinzie St,17,3,3,2.236160058185633
Racine Ave & Congress Pkwy,14,2,1,1.1159707179992502
Desplaines St & Jackson Blvd,19,5,1,1.3762773352138566
Clark St & Lincoln Ave,7,3,1,1.2835238309354866
Clarendon Ave & Gordon Ter,10,3,2,1.2008753581730316
Southport Ave & Waveland Ave,23,4,2,1.1944600111956802
Rush St & Hubbard St,6,0,1,1.0898273090881414
Clarendon Ave & Gordon Ter,20,3,1,1.208164127988442
Ashland Ave & Chicago Ave,11,0,1,1.1448290789738442
Adler Planetarium,15,6,4,1.2632488713590364
Southport Ave & Irving Park Rd,9,6,2,1.2539611954699026
Warren Park East,12,0,1,1.1593618623847284
Winthrop Ave & Lawrence Ave,17,1,1,1.1997547943512796
Paulina St & Howard St,17,3,1,1.1745919025275502
Clinton St & Madison St,15,0,1,1.8854760626564715
Clark St & Drummond Pl,19,0,3,2.008807574920742
Ogden Ave & Chicago Ave,22,3,1,1.1366058707629931
Clifton Ave & Armitage Ave,20,6,1,1.1094034607605496
Clinton St & Jackson Blvd,12,6,2,1.6796103773677304
Milwaukee Ave & Grand Ave,18,1,1,1.6012699141043378
Dearborn St & Erie St,21,3,3,1.6558842939050533
State St & Harrison St,14,2,1,1.1229408689919926
Winchester Ave & Elston Ave,15,6,1,1.2632488713590364
Ellis Ave & 60th St,7,5,1,2.428750953595768
Lincoln Ave & Fullerton Ave,12,5,2,1.24580283058492
DuSable Lake Shore Dr & Belmont Ave,4,5,1,1.041913630993856
Sheffield Ave & Wellington Ave,16,6,2,1.2507296146375206
Dearborn St & Adams St,14,3,3,1.3399431950667877
St. Louis Ave & Fullerton Ave,2,3,1,1.0403860580853617
Burling St & Diversey Pkwy,5,2,1,1.0554071296956662
Southport Ave & Belmont Ave,14,3,1,1.1653164753806478
Wells St & Concord Ln,5,0,1,1.4836676547520442
Damen Ave & Chicago Ave,6,3,1,1.2047072024120105
900 W Harrison St,8,0,1,1.2190335808422803
LaSalle St & Jackson Blvd,16,3,4,1.9474735778926942
Lincoln Ave & Belmont Ave,17,6,2,1.2365765310938581
Clinton St & Jackson Blvd,12,5,2,1.7072770440343974
Clinton St & Madison St,17,0,2,2.9441786190862267
Michigan Ave & 14th St,9,1,1,1.618146560051934
Clark St & 9th St (AMLI),5,1,1,1.041498830114872
Bissell St & Armitage Ave,3,5,1,1.1817235137557156
Clark St & Montrose Ave,11,1,1,1.152054211315562
Lincoln Ave & Fullerton Ave,5,1,1,1.0710899890945955
Halsted St & Willow St,13,6,1,1.3753842797550462
Aberdeen St & Randolph St,10,1,2,1.1136972269645342
Pine Grove Ave & Waveland Ave,14,1,1,1.4514961204442947
Benson Ave & Church St,17,3,1,1.2614559170222424
Larrabee St & Oak St,10,5,1,1.121029093065263
Sheffield Ave & Webster Ave,23,5,1,1.1840909837545768
Michigan Ave & 18th St,13,0,1,1.14600348001342
Mies van der Rohe Way & Chicago Ave,8,3,1,1.3643589073596163
Kedzie Ave & Palmer Ct,10,5,1,1.1283925551984753
Clark St & Elm St,22,3,1,1.348425748699488
Orleans St & Chestnut St (NEXT Apts),15,0,2,1.2063751568792451
Sheridan Rd & Irving Park Rd,5,2,1,1.1155325632524142
Kingsbury St & Erie St,7,2,3,1.744802323729503
Milwaukee Ave & Wabansia Ave,11,2,1,1.1575581738053264
Wood St & Taylor St (Temp),14,5,2,1.1609728722389372
Damen Ave & Cortland St,15,0,1,1.2063751568792451
Wells St & Evergreen Ave,10,5,1,1.243218089437146
Hermitage Ave & Polk St,15,5,1,1.4207320343342635
Clark St & Winnemac Ave,11,5,1,1.3217341535869251
Racine Ave & Wrightwood Ave,17,1,1,1.3554234465030521
Wells St & Elm St,15,1,1,1.6023005146628617
Larrabee St & North Ave,8,2,1,1.1952474799578177
Sheffield Ave & Fullerton Ave,14,6,2,2.0206341005056188
Lincoln Ave & Diversey Pkwy,15,1,1,1.2542081947116046
University Library (NU),19,0,1,1.1805392635627725
Clark St & Wrightwood Ave,10,2,1,1.4954639249133157
Sheffield Ave & Kingsbury St,18,4,2,2.69489031058381
Ashland Ave & Chicago Ave,5,5,1,1.013482120084388
Wood St & Augusta Blvd,18,2,1,1.1046043000432102
Clark St & Drummond Pl,19,0,1,2.008807574920742
Albany Ave & Bloomingdale Ave,15,5,1,1.4144126813156441
Streeter Dr & Grand Ave,11,2,1,1.6874348628577232
Sheridan Rd & Montrose Ave,15,0,3,1.2345767162457912
Orleans St & Chestnut St (NEXT Apts),12,3,2,1.205740463460367
Wabash Ave & Wacker Pl,9,3,1,1.1503646016034426
Broadway & Berwyn Ave,9,1,2,1.223408935777706
State St & Van Buren St,11,1,1,1.2135933783647723
Michigan Ave & Oak St,10,6,1,1.2372142253761615
Ravenswood Ave & Irving Park Rd,16,2,1,1.098122490904243
Clark St & Lincoln Ave,3,5,1,1.1817235137557156
Richmond St & Diversey Ave,16,4,1,1.180059849982925
Sheffield Ave & Wellington Ave,11,0,1,1.2207203543696166
Dayton St & North Ave,9,3,1,1.145430242368858
Clark St & Elm St,8,2,2,4.037635472757376
Broadway & Waveland Ave,22,4,1,1.1321832165093664
Desplaines St & Jackson Blvd,16,4,1,2.3774767367135796
Wabash Ave & Grand Ave,13,6,3,1.5041821729521643
Lincoln Ave & Waveland Ave,18,2,1,1.163250822535666
Ravenswood Ave & Lawrence Ave,10,0,1,1.1108681226010695
Princeton Ave & Garfield Blvd,8,0,1,1.1435549647867602
Southport Ave & Irving Park Rd,7,2,1,1.3594752252145
South Shore Dr & 67th St,12,3,1,1.155565856500708
Western Ave & Division St,4,5,1,1.048977516827015
Michigan Ave & Jackson Blvd,16,2,1,1.3065135971080388
Broadway & Berwyn Ave,23,6,1,1.0607513170265799
Wabash Ave & Roosevelt Rd,13,4,1,1.9412956377248387
Wells St & Elm St,23,4,1,1.486775837497418
Lake Park Ave & 56th St,14,3,2,1.174651658931528
Western Ave & Lunt Ave,13,5,1,1.1893541484836443
Damen Ave & Thomas St (Augusta Blvd),8,3,2,1.2927138807925516
Ravenswood Ave & Lawrence Ave,10,5,1,1.143726745774923
Wolcott Ave & Polk St,15,4,1,3.081841722936519
Franklin St & Chicago Ave,18,2,2,2.516891672085654
Western Ave & Winnebago Ave,14,6,1,1.362031967586343
Michigan Ave & Lake St,23,4,2,1.2442804139087833
Clark St & Wrightwood Ave,18,1,2,1.6614910491031183
Columbus Dr & Randolph St,7,3,2,2.6727104757987106
Ashland Ave & Wellington Ave,16,6,1,1.2525335362061483
Michigan Ave & Lake St,18,2,4,1.6232029480885655
Clark St & Schiller St,19,1,1,1.4380980386417497
Mies van der Rohe Way & Chestnut St,18,0,1,1.4813897849056363
LaSalle St & Illinois St,16,4,3,2.3136248530880885
Lincoln Ave & Sunnyside Ave,3,3,1,1.0871778031909614
Cherry Ave & Blackhawk St,16,4,1,1.1994561838468993
Greenwood Ave & 47th St,17,3,1,1.1745919025275502
Southport Ave & Clybourn Ave,20,6,1,1.1094034607605496
Wells St & Walton St,8,6,1,1.1280262319583962
Blue Island Ave & 18th St,3,3,1,1.0871778031909614
Halsted St & Clybourn Ave,12,6,2,1.5293212461863643
Wells St & Elm St,17,3,1,2.591415363806785
Southport Ave & Belmont Ave,10,6,2,1.164064652535873
Financial Pl & Ida B Wells Dr,7,5,1,1.2284727847086399
Lake Park Ave & 53rd St,9,3,2,1.1319950379038857
Racine Ave & Randolph St,7,3,1,1.1447495573048285
